source,scheme_id,title,summary,ministry,categories,beneficiary_state,tags,official_links,document_links,contact_numbers,contact_emails,office_addresses,how_to_apply,eligibility,required_documents,faqs
india.gov.in,rythu-bima,Rythu Bima Scheme,Rythu Bandhu Farmer Group Life Insurance Scheme for Farmers” is a life insurance scheme by the Government of Telangana that provides insurance coverage to the nominee of a farmer in case of the farmer’s death. It is free for farmers and is implemented through LIC.,,"Agriculture,Rural & Environment",,Farmer; Death Insurance; Life Insurance; Bima,https://www.india.gov.in/my-government/schemes/search?keyword=Rythu%20Bima%20Scheme,,,,,,,,
india.gov.in,jjais,Janta Juth Accidental Insurance Scheme,"""Janta Juth"" is a Farmer's Accidental Insurance Scheme by the Govt. of Gujarat to provide economic assistance of upto ₹ 2,00,000 to Farmers in case of Death or Disability. The objective is to assist the successor of the farmer in case of death or disability due to an accident.",,"Agriculture,Rural & Environment",,Accident; Insurance; Farmer; Financial Assistance; Person With Disability,https://www.india.gov.in/my-government/schemes/search?keyword=Janta%20Juth%20Accidental%20Insurance%20Scheme,,,,,,,,
india.gov.in,stl,Soil Testing Laboratory,"Agriculture and Farmers' Welfare Department launched the ""Soil Testing Laboratory"" scheme for the farmer on 01 April 2013.",,"Agriculture,Rural & Environment",,Farmers; Agriculture; Soil Health,https://www.india.gov.in/my-government/schemes/search?keyword=Soil%20Testing%20Laboratory,,,,,,,,
india.gov.in,kpy,Farmer Pension Scheme,"The scheme aims to provide financial support to elderly farmers residing in the state of Uttarakhand. Under this scheme, a monthly pension of ₹1200/- is provided to farmers who are above 60 years of age, own up to 2 hectares of land, and cultivate their own land.",,Social welfare & Empowerment,,Farmer; Pension; Kisan; Agriculture,https://www.india.gov.in/my-government/schemes/search?keyword=Farmer%20Pension%20Scheme,,,,,,,,
india.gov.in,agfst,Assistance to General Farmers for Sinking Tubewell,"“Assistance to General Farmers for Sinking Tubewell"" was launched by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers from the General Category are provided with a grant of 65% subsidy towards the construction of tubewell/filter point per individual.",,"Agriculture,Rural & Environment",,Tubewell; Subsidy; Farmer; Agriculture,https://www.india.gov.in/my-government/schemes/search?keyword=Assistance%20to%20General%20Farmers%20for%20Sinking%20Tubewell,,,,,,,,
india.gov.in,ascfst,Assistance to Scheduled Caste Farmers for Sinking Tubewell,"“Assistance to Scheduled Caste Farmers for Sinking Tubewell"" was launched by Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers from the SC Category are provided with a grant of 90% subsidy towards the construction of tubewell/filter points per individual.",,"Agriculture,Rural & Environment",,Tubewell; Subsidy; Farmer; Agriculture; Scheduled Caste,https://www.india.gov.in/my-government/schemes/search?keyword=Assistance%20to%20Scheduled%20Caste%20Farmers%20for%20Sinking%20Tubewell,,,,,,,,
india.gov.in,pibeschc,Production Incentive / Back-Ended Subsidy for Cultivation of Horticulture Crops,"Through this scheme, the farmers who possess farmer's identity cards / authenticated land records/documents are provided with One-Time Assistance/ Bi‐Annual Assistance/ Annual Assistance for the Cultivation of Horticulture Crops such as Mango, Guava, and Sapota.",,"Agriculture,Rural & Environment",,Subsidy; Horticulture; Crop; Incentive; Farmer,https://www.india.gov.in/my-government/schemes/search?keyword=Production%20Incentive%20/%20Back-Ended%20Subsidy%20for%20Cultivation%20of%20Horticulture%20Crops,,,,,,,,
india.gov.in,htagchrt-2,Harvesting Tools Assistance for General Category (HRT-2),"Under the scheme, financial assistance is provided to farmers belonging to the General Category as well as to FPOs (Farmers Producer Organizations), FPCs (Farmers Producer Companies), FIGs (Farmer Interest Groups), SHGs (Self-Help Groups), and Cooperative Societies for purchasing harvesting tools.",,"Agriculture,Rural & Environment",,Harvesting Tool; General Category; HRT-2; Farmer; Financial Assistance; FPO; FPC; FIG; SHG; Co-Operative Society,https://www.india.gov.in/my-government/schemes/search?keyword=Harvesting%20Tools%20Assistance%20for%20General%20Category%20%28HRT-2%29,,,,,,,,
india.gov.in,htaschrt4,Harvesting Tools Assistance for Scheduled Castes (HRT-4),"Under the scheme, financial assistance is provided to farmers belonging to the SC category as well as to FPOs (Farmers Producer Organizations), FPCs (Farmers Producer Companies), FIGs (Farmer Interest Groups), SHGs (Self-Help Groups), and Cooperative Societies for purchasing harvesting tools.",,"Agriculture,Rural & Environment",,Harvesting Tool; Scheduled Caste; HRT-4; Farmer; Financial Assistance; Cooperative Society; FPO; FPC; FIG; SHG,https://www.india.gov.in/my-government/schemes/search?keyword=Harvesting%20Tools%20Assistance%20for%20Scheduled%20Castes%20%28HRT-4%29,,,,,,,,
india.gov.in,htasthrt3,Harvesting Tools Assistance for Scheduled Tribes (HRT-3),"Under the scheme, financial assistance is provided to farmers belonging to the ST category as well as to FPOs (Farmers Producer Organizations), FPCs (Farmers Producer Companies), FIGs (Farmer Interest Groups), SHGs (Self-Help Groups), and Cooperative Societies for purchasing harvesting tools.",,"Agriculture,Rural & Environment",,Harvesting Tools; Scheduled Tribes; HRT-3; Financial Assistance; Farmer; Cooperative Society; FPO; FPC; FIG; SHG,https://www.india.gov.in/my-government/schemes/search?keyword=Harvesting%20Tools%20Assistance%20for%20Scheduled%20Tribes%20%28HRT-3%29,,,,,,,,
